,Country Code,Country Name,2019,2019 AID,Per Capita
171,NER,Niger,23310715,48988115,$2.10
172,NGA,Nigeria,200963599,570196584,$2.84
173,NIC,Nicaragua,6545502,37633082,$5.75
174,NLD,Netherlands,17332850,,$0.00
175,NOR,Norway,5347896,,$0.00
176,NPL,Nepal,28608710,187529490,$6.55
177,NRU,Nauru,12581,,$0.00
178,NZL,New Zealand,4917000,,$0.00
179,OED,OECD members,1359963500,,$0.00
180,OMN,Oman,4974986,0,$0.00
181,OSS,Other small states,31360407,,$0.00
182,PAK,Pakistan,216565318,388709067,$1.79
183,PAN,Panama,4246439,84336,$0.02
184,PER,Peru,32510453,54311114,$1.67
185,PHL,Philippines,108116615,93502154,$0.86
186,PLW,Palau,18008,190898,$10.60
187,PNG,Papua New Guinea,8776109,1801224,$0.21
188,POL,Poland,37970874,,$0.00
189,PRE,Pre-demographic dividend,944902749,,$0.00
190,PRI,Puerto Rico,3193694,,$0.00
191,PRK,"Korea, Dem. People’s Rep.",25666161,,$0.00
192,PRT,Portugal,10269417,0,$0.00
193,PRY,Paraguay,7044636,9356592,$1.33
194,PSE,West Bank and Gaza,4685306,66991260,$14.30
195,PSS,Pacific island small states,2493696,,$0.00
196,PST,Post-demographic dividend,1112914457,,$0.00
197,PYF,French Polynesia,279287,,$0.00
198,QAT,Qatar,2832067,,$0.00
199,ROU,Romania,19356544,,$0.00
200,RUS,Russian Federation,144373535,-93769,$0.00
201,RWA,Rwanda,12626950,236394796,$18.72
202,SAS,South Asia,1835776742,,$0.00
203,SAU,Saudi Arabia,34268528,,$0.00
204,SDN,Sudan,42813238,,$0.00
205,SEN,Senegal,16296364,216797756,$13.30
206,SGP,Singapore,5703569,,$0.00
207,SLB,Solomon Islands,669823,208756,$0.31
208,SLE,Sierra Leone,7813215,45630347,$5.84
209,SLV,El Salvador,6453553,113103350,$17.53
210,SMR,San Marino,33860,,$0.00
211,SOM,Somalia,15442905,121365307,$7.86
212,SRB,Serbia,6944975,18323941,$2.64
213,SSA,Sub-Saharan Africa (excluding high income),1105594562,,$0.00
214,SSD,South Sudan,11062113,,$0.00
215,SSF,Sub-Saharan Africa,1106957898,,$0.00
216,SST,Small states,41255484,,$0.00
217,STP,Sao Tome and Principe,215056,,$0.00
218,SUR,Suriname,581372,,$0.00
219,SVK,Slovak Republic,5454073,,$0.00
220,SVN,Slovenia,2087946,300000,$0.14
221,SWE,Sweden,10285453,,$0.00
222,SWZ,Eswatini,1148130,,$0.00
223,SXM,Sint Maarten (Dutch part),40733,,$0.00
224,SYC,Seychelles,97625,,$0.00
225,SYR,Syrian Arab Republic,17070135,341223804,$19.99
226,TCA,Turks and Caicos Islands,38191,,$0.00
227,TCD,Chad,15946876,5052046,$0.32
228,TEA,East Asia & Pacific (IDA & IBRD countries),2067984156,,$0.00
229,TEC,Europe & Central Asia (IDA & IBRD countries),460799505,,$0.00
230,TGO,Togo,8082366,11878,$0.00
231,THA,Thailand,69625582,6219273,$0.09
232,TJK,Tajikistan,9321018,37682184,$4.04
233,TKM,Turkmenistan,5942089,3452677,$0.58
234,TLA,Latin America & the Caribbean (IDA & IBRD countries),630644770,,$0.00
235,TLS,Timor-Leste,1293119,22079333,$17.07
